index,date_published,date_modified,source,sponsor,title
134,2019-06-21T15:00:41,2019-06-21T15:00:41,nrc,interpolis,Hoe ga je om met uitval van medewerkers in een familiebedrijf?
135,2019-06-14T14:00:30,2019-06-14T14:00:30,nrc,interpolis,Ziekteverzuim vraagt om bewustwording bij ondernemers
136,2019-05-10T07:53:09,2019-05-10T07:53:09,nrc,interpolis,Verzekeraar werkt als wekker bij ziekteverzuim
137,2019-05-03T13:07:10,2019-05-03T13:07:10,nrc,interpolis,Ik wil in de top vijf van foodservicebakkers blijven
138,2019-04-26T13:17:20,2019-04-26T13:17:20,nrc,interpolis,Onderzoek: veranderende regels grootste zorg voor ondernemers
139,2019-11-22T13:03:34,2019-11-22T13:03:34,nrc,Huawei,Kinderen worden niet geboren als digital natives
140,2019-11-22T13:03:21,2019-11-22T13:03:21,nrc,Huawei,Zonnepanelen op het water. Wordt Nederland koploper?
141,2019-11-15T12:33:56,2019-11-15T12:33:56,nrc,Huawei,Onze ontwikkelingen zullen gepaard gaan met ongewenste nevenactiviteiten
142,2019-11-15T12:33:49,2019-11-15T12:33:49,nrc,Huawei,Hoe lees je een slechthorend kind voor?
143,2019-06-10T10:00:39,2019-06-10T10:00:39,nrc,Volvo,Slimme autos: wie is de baas jij of de techniek?
144,2019-06-10T08:05:23,2019-06-10T08:05:23,nrc,Volvo,Volvo deelt data veiligheid met concurrentie
145,2019-06-10T08:00:00,2019-06-10T08:00:00,nrc,Volvo,Nieuwe eisen aan veiligheid autos in 2022
146,2019-06-06T07:59:51,2019-06-06T07:59:51,nrc,Volvo,Volvo begrenst maximumsnelheid autos tot 180
147,2019-06-04T09:26:56,2019-06-04T09:26:56,nrc,Volvo,Slimme auto anticipeert op onveilige situaties
148,2019-05-27T10:00:39,2019-05-27T10:00:39,nrc,Volvo,Binnen paar jaar zelfrijdende autos op snelweg
149,2018-07-09T08:03:37,2018-07-09T08:03:37,nrc,Volvo,Vergeet wat je weet over autos; dit wordt de toekomst
150,2018-07-09T08:02:49,2018-07-09T08:02:49,nrc,Volvo,Wat auto-ontwerpers leren van je kinderen
151,2018-06-07T11:06:44,2018-06-07T11:06:44,nrc,Volvo,Pakketje? Laat m bezorgen in je auto
152,2018-06-06T09:41:34,2018-06-06T09:41:34,nrc,Volvo,Nieuwste autos helpen menselijk falen te verminderen
153,2017-12-21T09:25:10,2017-12-21T09:25:10,nrc,Volvo,Het geheim van Hallered
154,2017-12-14T10:19:34,2017-12-14T10:19:34,nrc,Volvo,Voor iedereen een elektrische auto
155,2017-12-07T08:36:10,2017-12-07T08:36:10,nrc,Volvo,Wordt de bestuurder de passagier?
156,2017-11-23T09:00:48,2017-11-23T09:00:48,nrc,Volvo,Vanaf 2020 geen dodelijke ongelukken meer in een Volvo
157,2017-11-17T08:43:39,2017-11-17T08:43:39,nrc,Volvo,Nooit meer een rommelige auto
158,2017-11-01T10:58:13,2017-11-01T10:58:13,nrc,Volvo,Volvos visie op veiligheid
159,2017-11-01T10:57:59,2017-11-01T10:57:59,nrc,Volvo,Van idee tot een nieuwe Volvo in 36 maanden
160,2017-11-01T10:57:42,2017-11-01T10:57:42,nrc,Volvo,De toekomst is elektrisch
161,2018-05-25T13:01:10,2018-05-25T13:01:10,nrc,Deloitte,Hoe bankieren we over tien jaar? Niet meer zoals nu misschien
162,2018-04-26T07:29:37,2018-04-26T07:29:37,nrc,Deloitte,Vaccinatieboekje voortaan in de blockchain?
