catagory,word,score
editorial,vechten,-0.24828153897251717
editorial,gaan,-0.24824304387456833
editorial,griekse,-0.24775572546582036
editorial,elektrolyser,-0.24773962765271954
editorial,seizoen,-0.24714133555150303
editorial,ontwerp,-0.2470169822368676
editorial,ligt,-0.24700728790206944
editorial,schulden,-0.2469752889136166
editorial,corruptie,-0.24662208926566712
editorial,canada,-0.2464085113944704
editorial,waarvan,-0.2462863888382224
editorial,fantastisch,-0.24590784530667775
editorial,poging,-0.24590268916164165
editorial,lyon,-0.24589074947637157
editorial,gestuurd,-0.24538817059100299
editorial,menno,-0.245255593802639
editorial,rechten,-0.24517418804937222
editorial,interviews,-0.2448351356958988
editorial,anios,-0.24442109558779845
editorial,mannen,-0.24436323360797674
editorial,speciaal,-0.24432771381703952
editorial,strakke,-0.2436712267069193
editorial,aangifte,-0.2433871755282401
editorial,gevaren,-0.24315104970865242
editorial,kwijt,-0.24261373511283718
editorial,jonge,-0.24242088736015652
editorial,kwamen,-0.24242019423398553
